category,name,path,exists,size_kb,role,include_in_report,notes
table,Tabla 1. Mejores modelos Sentinel,data/article_tables/table_01_best_models_article.csv,True,1.5,Tabla principal de resultados Sentinel-2.,yes,Incluye el modelo principal ET diaria ~ SAVI_mean y los mejores modelos por target temporal.
table,Tabla 2. Regresiones suplementarias Sentinel,data/article_tables/table_02_all_regressions_supplement.csv,True,4.78,Tabla suplementaria con todas las regresiones simples.,optional/supplement,Útil como anexo o material suplementario; no conviene saturar el cuerpo principal.
table,Tabla 3. Correlaciones suplementarias Sentinel,data/article_tables/table_03_all_correlations_supplement.csv,True,3.07,Tabla suplementaria con correlaciones Pearson y Spearman.,optional/supplement,Sirve para mostrar ranking completo de predictores y targets.
table,Tabla 4. Descripción del dataset Sentinel,data/article_tables/table_04_dataset_description.csv,True,0.91,Resumen descriptivo del dataset analysis-ready Sentinel.,yes,Ya corregida: date_start y date_end deben aparecer como 2025-08-20 y 2025-12-28.
table,Tabla 5. Diagnóstico Landsat/LST,data/article_tables/table_05_landsat_lst_diagnostic.csv,True,1.21,Tabla diagnóstica de disponibilidad y calidad Landsat/LST.,yes,"Debe entrar como diagnóstico, no como base de regresión."
table,Tabla 6. Auditoría final del proyecto,data/article_tables/table_06_final_project_audit.csv,True,9.09,Tabla maestra de control interno del proyecto.,optional,No necesariamente entra completa al informe; sirve para control y trazabilidad.
table,Tabla 8. Resumen Kc dinámico y ETc,data/article_tables/table_08_dynamic_kc_etc_summary.csv,True,1.7,Tabla principal de la rama Kc dinámico.,yes,"Resume Kc_min, Kc_max, Kc SAVI medio, ETc SAVI media y métricas de interpretación."
table,Tabla 9. Kc dinámico y ETc por fecha,data/article_tables/table_09_dynamic_kc_etc_by_date.csv,True,1.17,Tabla detallada por fecha para Kc y ETc.,yes,"Permite reportar la evolución temporal de ET base, Kc SAVI, ETc SAVI, Kc NDVI y ETc NDVI."
figure,Figura 1. Serie temporal estación-Sentinel,data/article_figures/fig01_station_satellite_timeline.png,True,398.02,Figura principal de contexto temporal.,yes,Muestra ET diaria y fechas Sentinel válidas.
figure,Figura 10. ET base vs ETc dinámica,data/article_figures/fig10_et_base_vs_etc_dynamic.png,True,95.77,Figura descriptiva de relación ET base–ETc.,optional,Debe interpretarse con cautela porque ETc se construye como ET base multiplicada por Kc.
figure,Figura 2. Mejor modelo ET ~ SAVI,data/article_figures/fig02_scatter_best_same_day_model.png,True,139.0,Figura principal del resultado Sentinel.,yes,Debe acompañar la Tabla 1.
figure,Figura 3. Comparación predictores Sentinel,data/article_figures/fig03_scatter_same_day_predictor_grid.png,True,279.37,"Comparación visual entre SAVI, NDVI, EVI y NDRE.",yes,Muy útil para justificar que SAVI fue el mejor predictor de ET diaria.
figure,Figura 4. Ranking modelos por target,data/article_figures/fig04_best_model_ranking.png,True,169.94,Ranking de desempeño por escala temporal.,optional,"Puede entrar si hay espacio; si no, dejar como suplementaria."
figure,Figura 5. Perfil temporal del predictor focal,data/article_figures/fig05_temporal_windows_best_predictor.png,True,223.44,Comparación por ventanas temporales.,optional,Útil para explicar por qué el mismo día fue más fuerte.
figure,Figura 6. Píxeles válidos Landsat/LST,data/article_figures/fig06_landsat_valid_pixel_pct.png,True,123.76,Diagnóstico de disponibilidad térmica.,yes,Figura clave para justificar por qué no se hacen regresiones Landsat.
figure,Figura 7. LST vs temperatura del aire,data/article_figures/fig07_landsat_lst_vs_tair.png,True,142.07,Comparación descriptiva térmica.,yes,Sirve para mostrar coherencia física sin inferencia estadística.
figure,Figura 8. Serie temporal ET base y ETc dinámica,data/article_figures/fig08_dynamic_etc_timeseries.png,True,286.78,Figura principal de la rama ETc espacial.,yes,Compara ET base de estación con ETc dinámica basada en SAVI y NDVI.
figure,Figura 9. Serie temporal Kc dinámico,data/article_figures/fig09_dynamic_kc_timeseries.png,True,250.28,Figura principal del Kc dinámico.,yes,Muestra la evolución temporal del Kc dinámico basado en SAVI y NDVI.
text,Auditoría final automática,data/article_text/final_project_audit_report.md,True,1.14,Resumen ejecutivo interno del estado del proyecto.,optional,Puede alimentar la discusión metodológica.
text,Borrador de resultados Sentinel,data/article_text/results_sentences_draft.md,True,3.38,Texto base para sección de resultados Sentinel.,yes,Debe actualizarse con los resultados corregidos n=8.
text,Captions de figuras,data/article_text/figure_captions_draft.md,True,2.22,Borrador de leyendas de figuras.,yes,Debe revisar que las cifras correspondan al reprocesamiento corregido.
text,Notas de tablas,data/article_text/table_notes_draft.md,True,1.59,Notas metodológicas para tablas.,yes,Útil para el informe final.
text,Resultados Kc dinámico y ETc espacial,data/article_text/dynamic_kc_etc_results.md,True,1.48,Texto base para la sección de Kc dinámico.,yes,Debe incluirse porque responde al objetivo más importante del proyecto.
text,Resultados diagnósticos Landsat,data/article_text/landsat_diagnostic_results.md,True,1.1,Texto base para sección Landsat/LST.,yes,Debe entrar con lenguaje prudente.
